Product Name,Price,Original Prices,Discount rates,Ratings
"Apple iPhone 7 (Rose Gold, 32 GB)","29,499","29,900",1% off,4.5
"Honor 7S (Black, 16 GB)","6,499","8,999",27% off,4.1
"Infinix Hot 7 (Mocha Brown, 64 GB)","9,999",NaN,Nan,4.2
Jivi Banana 6,999,"1,399",28% off,3.9
Detel D1 Champ,590,NaN,Nan,3.7
"Nokia 2.2 (Black, 16 GB)","5,499","9,099",39% off,4
"Apple iPhone 6s (Silver, 32 GB)","25,299","29,900",15% off,4.5
"Micromax Vdeo 3 (Grey, 8 GB)","5,749",NaN,Nan,4
"Realme X (Polar White, 128 GB)","20,999",NaN,Nan,4.5
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","16,990",NaN,Nan,4.4
"Redmi K20 Pro (Pearl White, 256 GB)","29,999","31,999",6% off,4.5
Lava Spark i8,"1,399","1,999",30% off,4.1
I Kall K 60,"1,999","2,999",33% off,4
Karbonn K-Stylo,"1,087","1,645",33% off,3.9
Blackbear B5 Nex,799,999,20% off,4
"Apple iPhone XR ((PRODUCT)RED, 128 GB)","57,800",NaN,Nan,4.6
Snexian Rock,"1,285",NaN,Nan,3.9
"Apple iPhone 7 Plus (Silver, 32 GB)","36,999","37,900",2% off,4.5
"OPPO Reno3 Pro (Sky White, 128 GB)","31,990","32,990",3% off,4.5
"OPPO Reno3 Pro (Auroral Blue, 128 GB)","31,990","32,990",3% off,4.5
Samsung Guru Music 2,"1,899","1,950",2% off,4.3
"Realme 3 (Radiant Blue, 64 GB)","10,499","12,999",19% off,4.4
Gfive Leo,675,NaN,Nan,3.6
"Realme X2 Pro (Red Brick, 256 GB)","36,999",NaN,Nan,4.6
"Samsung Galaxy A30s (Prism Crush Black, 64 GB)","15,899","18,900",15% off,4.3
BlackZone Eluga,599,NaN,Nan,3.2
Kechaoda K9,"1,075",NaN,Nan,4
"Ismart Extreme (Sea Blue, 32 GB)","4,890","4,990",2% off,3.2
Detel D1 Champ,590,NaN,Nan,3.7
I Kall K44 new mobile,659,NaN,Nan,3.7
Micromax X749,"1,170",NaN,Nan,4.2
"iQOO 3 (5G) (Tornado Black, 256 GB)","44,990","46,990",4% off,4.4
Karbonn KX23,"1,245","1,490",16% off,3.9
"Gionee M7 Power (Gold, 64 GB)","9,849",NaN,Nan,4.2
"Nokia 6.1 (Iron, White, 32 GB)","8,999","17,979",49% off,4.2
"OPPO A9 2020 (Marine Green, 128 GB)","18,490","21,990",15% off,4.3
"OPPO A9 2020 (Space Purple, 128 GB)","18,490","21,990",15% off,4.3
Fox Sultan,"1,110",NaN,Nan,3.9
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490","13,990",17% off,4.5
"Realme 2 Pro (Ice Lake, 64 GB)","13,990","15,990",12% off,4.5
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490","15,990",28% off,4.5
"Micromax Evok Note (Champagne, 32 GB)","5,099","9,499",46% off,3.6
InFocus Hero Power B1,"1,149",NaN,Nan,4
Karbonn K334,832,834,Nan,NaN
Fox Champ FX240,908,NaN,Nan,3.6
BlackZone Genius,599,NaN,Nan,3.4
Karbonn K17 Rock,739,NaN,Nan,3.9
Megus Eco,599,NaN,Nan,3.1
Kechaoda K112,"1,235",NaN,Nan,3.9
"OPPO A83 (2018 Edition) (Champagne, 64 GB)","7,490","16,990",55% off,4.3
"Lava A68 (Gold, 8 GB)","2,999",NaN,Nan,3.5
Fox Sultan,"1,110",NaN,Nan,3.9
Fox Sultan,"1,110",NaN,Nan,3.9
Fox Sultan,"1,110",NaN,Nan,3.9
Detel D1 Champ,590,NaN,Nan,3.7
Kechaoda K66 Plus,949,NaN,Nan,4.1
"Moto M (Silver, 64 GB)","16,999",NaN,Nan,3.9
"Moto M (Gold, 32 GB)","14,999",NaN,Nan,3.9
"Moto M (Grey, 32 GB)","14,999",NaN,Nan,3.9
"Apple iPhone XR (Black, 64 GB)","52,500",NaN,Nan,4.6
Fox Sultan,"1,110",NaN,Nan,3.9
I Kall K24,659,NaN,Nan,3.3
"Samsung Galaxy A71 (Prism Crush Black, 128 GB)","32,999","34,999",5% off,4.5
"Apple iPhone 8 (Space Grey, 64 GB)","38,999","39,900",2% off,4.5
Zen M72 Max,"1,289",NaN,Nan,3.9
Karbonn KX2,725,"1,090",33% off,3.8
I Kall K 64,649,NaN,Nan,3.6
Fox BigDaddy,"1,262",NaN,Nan,3.7
Fox BigDaddy,"1,262",NaN,Nan,3.7
Fox BigDaddy,"1,262",NaN,Nan,3.7
Gfive U707 combo of Two,999,"1,099",9% off,3.8
Gfive U707 combo of Two,999,"1,099",9% off,3.8
Fox Bolt FX241,959,NaN,Nan,3.7
"Micromax Canvas Infinity (Black, 32 GB)","5,299","9,999",47% off,4.1
I Kall K25 Combo of Two Mobiles,"1,199","1,499",20% off,3.5
"Vivo V9 (Pearl Black (Golden Line), 64 GB)","23,990",NaN,Nan,4.5
Muphone M5800,"1,029","1,999",48% off,3.6
"Mi Mix 2 (Black, 128 GB)","29,999","37,999",21% off,4.3
Detel D1 Champ,590,NaN,Nan,3.7
"Lava Z41 (Midnight Blue, 16 GB)","4,199","4,799",12% off,4
I Kall K 38 Plus,"1,299","1,999",35% off,4
Fox Champ FX240,908,NaN,Nan,3.6
Fox Champ FX240,908,NaN,Nan,3.6
Itel It 5605n,"1,085",NaN,Nan,4.1
BlackZone Hammar,619,NaN,Nan,3.6
Blackzone Hammar,579,NaN,Nan,3.6
Ssky Stone,849,NaN,Nan,NaN
Winstar L6,899,NaN,Nan,3.9
"Winstar L6 (Blue, 32 MB)",999,NaN,Nan,3.9
Intex Ultra,"1,320",NaN,Nan,3.2
"InFocus A2 (Champagne Gold, 8 GB)","3,599","5,499",34% off,3.8
Salora Coral,899,"1,649",45% off,3.6
"OPPO F9 Pro (Twilight Blue, 64 GB)","18,990","25,990",26% off,4.5
I Kall K40 New,"1,199","1,299",7% off,3.6
"Leagoo S8 (Dezzal blue, 32 GB)","5,799","6,299",7% off,3.5
"Realme 2 Pro (Blue Ocean, 128 GB)","15,490","17,990",13% off,4.5
1+1=2 D1,649,NaN,Nan,3.4
"Samsung GALAXY A50 (White, 64 GB)","24,000",NaN,Nan,4.4
"Redmi K20 (Flame Red, 128 GB)","24,999",NaN,Nan,4.5
I Kall K-130,659,NaN,Nan,3.6
InFocus F229,"1,180",NaN,Nan,4
"Nokia 3.2 (Black, 32 GB)","9,499","13,099",27% off,4.1
Gfive WP86,"1,079",NaN,Nan,3.1
Gfive WP86,"1,079",NaN,Nan,3.1
Detel D1 Champ,590,NaN,Nan,3.7
Gfive WP86,"1,079",NaN,Nan,3.1
Kechaoda A 31,949,NaN,Nan,3.8
"OPPO F11 (Marble Green, 128 GB)","17,990","23,990",25% off,4.4
Easyfone Amico,"2,599","3,100",16% off,3.5
I Kall K31,549,599,8% off,3.4
JIVI X30,749,NaN,Nan,3.9
I Kall K3312,799,NaN,Nan,3.5
Intex Mega 2400,"1,325",NaN,Nan,3.8
Zen M72 Slim,"1,232",NaN,Nan,4
"Nokia 3.2 (Black, 32 GB)","8,979","12,399",27% off,4.1
Winstar W11,999,NaN,Nan,3.6
Winstar W11,999,NaN,Nan,3.6
I Kall K 50 Combo of 2,"1,499","2,598",42% off,3.9
"Realme 2 Pro (Black Sea, 64 GB)","11,490","13,990",17% off,4.5
Zen Z15,"1,225",NaN,Nan,3.8
Zen Z15,"1,249",NaN,Nan,3.8
Zen X50,"1,096",NaN,Nan,3.8
Reach Cogent Mini,899,NaN,Nan,3.7
GreenBerry W1,"1,299",NaN,Nan,3.6
Detel D1 Champ,590,NaN,Nan,3.7
Jivi X93 Grand,949,NaN,Nan,3.9
Zen Power 102,929,"1,019",8% off,4
Zen Power 102,979,NaN,Nan,4
"Apple iPhone XR (Coral, 64 GB)","52,500",NaN,Nan,4.6
Kara K16,699,NaN,Nan,3.7
Muphone M350,890,"1,999",55% off,NaN
Muphone M350,890,"1,999",55% off,NaN
Muphone M350,949,"1,999",52% off,NaN
Muphone M350,849,"1,999",57% off,NaN
Gfive Plus,699,NaN,Nan,3.8
"Micromax Bharat 4 Diwali Edition (Matte Black, 8 GB)","4,999",NaN,Nan,3.9
Zen X28,919,NaN,Nan,3.4
Zen X28,919,NaN,Nan,3.8
Zen X28,919,NaN,Nan,3.4
Q-Tel Q7,499,NaN,Nan,3.4
Q-Tel Q7,559,NaN,Nan,3.4
"Vivo V7+ (Matte Black, 64 GB)","22,221",NaN,Nan,4.4
"Vivo Y71 (Matte Black, 16 GB)","11,990",NaN,Nan,4.3
Blackbear B5 Neo,610,899,32% off,3.2
Blackbear B5 Neo,610,899,32% off,3.2
Kechaoda K10,799,NaN,Nan,4
"Motorola One Macro (Ultra Violet, 64 GB)","9,999","11,999",16% off,4.2
Reach Power 230,770,NaN,Nan,3.4
Detel D1 Champ,590,NaN,Nan,3.7
Tambo A1806,890,999,10% off,NaN
"Itel A44 Pro (Blue, 16 GB)","5,090",NaN,Nan,4.3
"Samsung Galaxy On Max (Gold, 32 GB)","19,900",NaN,Nan,4.3
"Samsung Galaxy M30s (Black, 64 GB)","15,499","15,500",Nan,4.3
"Coolpad Mega 5C (Sky Blue, 16 GB)","3,200","5,499",41% off,3.7
BlackZone B310,599,NaN,Nan,NaN
Gfive U707,625,899,30% off,3.7
"Micromax Bharat 4 (Black, 8 GB)","3,590",NaN,Nan,3.8
"Vivo V11 Pro (Starry Night Black, 64 GB)","15,799","28,990",45% off,4.5
"Asus ZenFone Max M2 (Black, 64 GB)","8,999","14,999",40% off,4.3
"Redmi Note 3 (Gold, 32 GB)","11,999",NaN,Nan,4.3
GLX W22,639,NaN,Nan,3.6
GLX W22,639,NaN,Nan,3.6
GLX W22,639,NaN,Nan,3.6
Samsung Guru GT,"1,339","1,465",8% off,4.1
"Itel Vision1 (Gradation Purple, 32 GB)","6,299",NaN,Nan,4.1
Tork T13 Banana,837,"1,799",53% off,4
Mymax M36,599,NaN,Nan,3.3
"Vivo V15 Pro (Ruby Red, 128 GB)","21,099","32,990",36% off,4.5
"Honor 10 Lite (Midnight Black, 64 GB)","11,599","16,999",31% off,4.4
"Honor 10 Lite (Sapphire Blue, 32 GB)","8,499","13,999",39% off,4.4
Karbonn KX26,999,NaN,Nan,3.8
"Samsung Galaxy M30s (Black, 64 GB)","15,499","15,500",Nan,4.3
"Coolpad Mega 5A (Gold, 16 GB)","6,790",NaN,Nan,3.8
I Kall K30,799,NaN,Nan,3.7
Detel D1 Champ,590,NaN,Nan,3.7
Forme Duos N2,799,899,11% off,4.1
Salora Vishaal,"1,099",NaN,Nan,4.3
Salora Volt 2,659,"1,099",40% off,3.9
"Lava A52 (Black, 4 GB)","2,099",NaN,Nan,3.8
"Lava Iris Atom (Black, 8 GB)","2,699",NaN,Nan,3.3
Karbonn K490+,985,NaN,Nan,3.6
Micromax X746,"1,399",NaN,Nan,4
"YUHO Y2 Pro (Ruby Red-Black, 16 GB)","4,699","8,999",47% off,NaN
Inovu A1s Combo of Two Mobiles,"1,156","2,178",46% off,3.3
Inovu A1s Combo of Two Mobiles,"1,156","2,178",46% off,3.3
Inovu A1s Combo of Two Mobiles,"1,156","2,178",46% off,3.3
Muphone M3000,849,899,5% off,3.6
Muphone M3000,849,899,5% off,3.6
Muphone M3000,849,"1,999",57% off,3.6
Reach Champ + Selfie Black Yellow,699,NaN,Nan,NaN
Karbonn KX26,999,NaN,Nan,3.8
Gfive U873,599,NaN,Nan,3.7
Zen Zen M72 Max,"1,270",NaN,Nan,3.8
Karbonn K324N,"1,045",NaN,Nan,3.8
Rocktel R5,599,NaN,Nan,3.6
